,eventid,iyear,extended,country,region,city,latitude,longitude,crit1,crit2,crit3,multiple,success,suicide,attack_type,target_type,target_nationality,group_name,nperps,nperpcap,weapon_type,nkill,nkillus,nwound,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,hostkidoutcome_txt,nreleased,date,ones
49983,1.99E+11,2010,0,Djibouti,Sub-Saharan Africa,Djibouti,11.588591,43.145343,1,1,1,0,1,0,IRS_pop_Not_protected,Public services,Djibouti,Unknown,2,NA,Firearms,0,NA,0,0,1,18,0,NA,NA,,Djibouti,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,18,5/17/2010,1
50022,1.99E+11,2010,0,Sierra Leone,Sub-Saharan Africa,Koidu,8.644813,-10.969397,1,1,1,0,1,0,IRS_pop_protected,Private property,Sierra Leone,Unknown,NA,NA,Firearms,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50038,1.99E+11,2010,0,Niger,Sub-Saharan Africa,Agadez,16.974169,7.986535,1,1,0,0,1,0,IRS_pop_protected,Government,Niger,Tuareg Guerrillas,NA,NA,Firearms,3,NA,3,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50055,1.99E+11,2010,0,Djibouti,Sub-Saharan Africa,Yoboki,11.510046,42.10496,1,1,1,0,1,0,IRS_pop_protected,Private property,Djibouti,Front for the Restoration of Unity and Democracy,NA,NA,Firearms,60,NA,2,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50078,1.99E+11,2010,0,Sudan,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_Coverage,Private property,Sudan,Sudan People's Liberation Army (SPLA),NA,NA,Bombs,7,NA,0,20000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50086,1.99E+11,2010,0,Swaziland,Sub-Saharan Africa,Mbabane,-26.328746,31.143897,1,1,1,0,1,0,Children_U5yrs_protected,Government,Swaziland,Unknown,NA,NA,Incendiary,0,NA,0,25000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50093,1.99E+11,2010,0,Guinea,Sub-Saharan Africa,Conakry,9.509132,-13.712144,1,1,1,0,0,0,Sprayed_Structures,Government,Guinea,Unknown,NA,NA,Incendiary,0,NA,0,25000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50117,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Corrane,-15.470505,39.616978,1,1,1,0,1,0,IRS_pop_protected,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Firearms,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50128,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Unknown,13.65302,41.662576,1,1,1,0,1,0,IRS_pop_protected,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Firearms,0,NA,0,0,1,3,1,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50153,1.99E+11,2010,0,Ivory Coast,Sub-Saharan Africa,Abidjan,5.316667,-4.033333,1,1,1,0,1,0,Children_U5yrs_sleeping_underNet_IRS_protected,Private property,Ivory Coast,Ivorian Popular Front,NA,NA,Melee,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50168,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Utan Brama,4.595669,8.270638,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Effiat ethnic roup or Jbibio Peoples,NA,NA,Incendiary,375,NA,0,233380,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50171,1.99E+11,2010,0,Niger,Sub-Saharan Africa,Arlit district,18.28183,8.00003,1,1,1,0,1,0,Spray_Structures_found,Government,Niger,Air and Azawak Liberation Front,NA,NA,Firearms,0,NA,0,0,1,6,0,NA,NA,,Niger,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50189,1.99E+11,2010,0,Chad,Sub-Saharan Africa,N'Djamena,12.120819,15.086542,1,1,1,0,1,0,IRS_pop_protected,Government,Chad,Unknown,NA,NA,Firearms,2,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50196,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Benin City,6.317599,5.614502,1,1,1,0,1,0,Sprayed_Structures,Government,Nigeria,Unknown,NA,NA,Firearms,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50212,1.99E+11,2010,0,Djibouti,Sub-Saharan Africa,Randa,11.84882,42.657293,1,1,0,0,1,0,IRS_pop_protected,Government,Djibouti,Front for the Restoration of Unity and Democracy,NA,NA,Firearms,2,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50233,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,IRS_pop_protected,Private property,Rwanda,Rwanda Patriotic Front (RPF),NA,NA,Firearms,6,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50234,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,IRS_pop_protected,Hate crimes,Rwanda,Rwanda Patriotic Front (RPF),NA,NA,Firearms,2,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50311,1.99E+11,2010,0,Burundi,Sub-Saharan Africa,Bujumbura,-3.382942,29.367103,1,1,0,0,0,0,IRS_pop_protected,Government,Burundi,Tutsi,30,NA,Firearms,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50331,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kanzenze,-2.077969,30.072236,1,0,1,0,1,0,IRS_pop_protected,Private property,Rwanda,Hutus,NA,NA,Firearms,10,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50338,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Maputo,-25.891968,32.605135,1,1,1,0,1,0,IRS_pop_protected,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Firearms,2,NA,10,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50364,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Nyamata,-2.200831,30.14448,1,1,1,0,1,0,Sprayed_Structures,Hate crimes,Rwanda,Unknown,NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50386,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,0,1,0,1,0,IRS_pop_protected,Private property,Rwanda,Hutus,NA,NA,Firearms,35,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50408,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Jijiga,9.356784,42.795518,1,1,1,0,1,0,IRS_pop_protected,Government,Ethiopia,Unknown,NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50428,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Mutura,-1.59957,29.38169,1,1,0,0,1,0,IRS_pop_protected,Government,Rwanda,Rwanda Patriotic Front (RPF),NA,NA,Firearms,38,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50446,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Jalingo,8.899997,11.366661,1,1,1,0,1,0,IRS_Coverage,Hate crimes,Nigeria,Muslims,NA,NA,Firearms,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50458,1.99E+11,2010,0,Ivory Coast,Sub-Saharan Africa,Abidjan,5.316667,-4.033333,1,1,1,0,1,0,Sprayed_Structures,Hate crimes,Ivory Coast,Unknown,NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50469,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Lubango,-14.919219,13.489912,1,1,0,0,1,0,Sprayed_Structures,Government,Angola,National Union for the Total Independence of Angola (UNITA),NA,NA,Incendiary,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50470,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Lubango,-14.919219,13.489912,1,1,0,1,1,0,Sprayed_Structures,Government,Angola,National Union for the Total Independence of Angola (UNITA),NA,NA,Other,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50471,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Lubango,-14.919219,13.489912,1,1,0,1,1,0,Sprayed_Structures,Government,Angola,National Union for the Total Independence of Angola (UNITA),NA,NA,Other,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50480,1.99E+11,2010,0,Niger,Sub-Saharan Africa,Iferouane,19.0625,8.42,1,1,1,0,1,0,IRS_Coverage,Private property,Niger,Air and Azawak Liberation Front,80,NA,Bombs,3,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50491,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Maputo,-25.891968,32.605135,1,1,1,0,1,0,IRS_pop_protected,Private property,Mozambique,Mozambique National Resistance Movement (MNR),200,NA,Firearms,34,0,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50559,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,IRS_Coverage,Public services,Rwanda,Rwanda Patriotic Front (RPF),NA,NA,Bombs,5,NA,36,1.00E+05,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50739,1.99E+11,2010,0,Liberia,Sub-Saharan Africa,Than,7.107729,-10.900144,1,0,1,0,1,0,IRS_pop_protected,Government,Liberia,United Liberation Movement for Democracy in Liberia (ULIMO),NA,NA,Firearms,4,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50759,1.99E+11,2010,0,Madagascar,Sub-Saharan Africa,Antananarivo,-18.92232,47.51724,1,1,1,0,1,0,Sprayed_Structures,Government,Madagascar,Unknown,3,NA,Vehicle,375,0,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50766,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Gode,5.950903,43.560085,1,1,1,0,1,0,Sprayed_Structures,Government,Ethiopia,Unknown,4,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50775,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Nyabisindu,-1.948401,30.11122,1,1,1,0,1,0,IRS_Coverage,Private property,Rwanda,Unknown,NA,NA,Bombs,4,NA,2,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50779,1.99E+11,2010,0,Madagascar,Sub-Saharan Africa,Antananarivo,-18.92232,47.51724,1,1,1,0,1,0,IRS_pop_protected,Government,Madagascar,Militant Movement for Madagascan Socialism (MMSM),NA,NA,Chemical,375,NA,40,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50782,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Cabo Ledo,-9.676348,13.195386,1,1,1,0,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50783,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50784,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50785,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50786,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50787,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50788,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50789,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,1,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50790,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,0,1,0,Sprayed_Structures,Hate crimes,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,NA,1
50828,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Unknown,NA,NA,Bombs,0,NA,13,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50829,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Unknown,NA,NA,Bombs,0,NA,4,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50842,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Canganetole,-18.487663,34.487638,1,1,0,0,1,0,IRS_pop_protected,Government,Mozambique,Mozambique Liberation Front (FRELIMO),NA,NA,Firearms,35,NA,27,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50850,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Jijiga,9.356784,42.795518,1,0,1,0,1,0,IRS_pop_protected,Hate crimes,Ethiopia,Ethiopian People's Revolutionary Party,NA,NA,Firearms,200,NA,300,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50856,1.99E+11,2010,0,Cameroon,Sub-Saharan Africa,Meiganga,6.513382,14.287472,1,1,1,0,1,0,Sprayed_Structures,Hate crimes,Cameroon,Baya Tribe,NA,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50858,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Chongoroi district,-13.575817,13.941301,1,1,1,0,1,0,IRS_pop_protected,Government,Angola,National Union for the Total Independence of Angola (UNITA),60,NA,Firearms,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50897,1.99E+11,2010,0,Burundi,Sub-Saharan Africa,Unknown,-2.888895,29.120025,1,1,0,0,1,0,IRS_pop_protected,Government,Burundi,Party for the Liberation of the Hutu People (PALIPEHUTU),NA,NA,Firearms,375,NA,19,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50933,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_Not_protected,Public services,Ethiopia,Unknown,4,NA,Unknown,0,NA,0,0,1,105,0,NA,NA,"Nairobi, Kenya","Nairobi, Kenya",1,1.00E+06,NA,NA,NA,NA,.,NA,5/17/2010,1
50941,1.99E+11,2010,0,Cameroon,Sub-Saharan Africa,Tibati,6.464729,12.623141,1,1,1,0,1,0,Sprayed_Structures,Private property,Cameroon,Unknown,NA,NA,Melee,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
50951,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Unknown,NA,NA,Bombs,0,NA,5,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51005,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Mecera,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Hate crimes,Ethiopia,Oromo Liberation Front,NA,NA,Firearms,126,NA,10,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51006,1.99E+11,2010,0,Ethiopia,Sub-Saharan Africa,Mechatat,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Hate crimes,Ethiopia,Oromo Liberation Front,NA,NA,Firearms,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51072,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,IRS_Coverage,Public services,Rwanda,Unknown,NA,NA,Bombs,1,NA,34,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51108,1.99E+11,2010,0,Cameroon,Sub-Saharan Africa,Batouri,4.433333,14.366667,1,1,1,0,1,0,IRS_pop_protected,Government,Cameroon,Muslim Militants,500,NA,Melee,1,NA,5,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51109,1.99E+11,2010,0,Liberia,Sub-Saharan Africa,Monrovia,6.290743,-10.760524,1,1,1,0,1,0,IRS_Coverage,Private property,Liberia,Unknown,1,NA,Bombs,0,NA,15,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51114,1.99E+11,2010,0,Angola,Sub-Saharan Africa,Luanda,-8.838837,13.235582,1,1,1,0,1,0,Sprayed_Structures,Private property,Angola,Unknown,NA,NA,Unknown,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51144,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Private property,Mozambique,Unknown,NA,NA,Firearms,21,NA,NA,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51156,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Rugango,-2.23256,29.78043,1,1,1,0,1,0,IRS_Coverage,Private property,Rwanda,Unknown,NA,NA,Bombs,13,NA,23,20000,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51157,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Ruhango,-2.23256,29.78043,1,1,1,0,1,0,IRS_Coverage,Private property,Rwanda,Unknown,NA,NA,Bombs,17,NA,13,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51167,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kimisagara,-1.952795,30.046301,1,1,1,0,1,0,IRS_Coverage,Public services,Rwanda,Unknown,NA,NA,Bombs,4,NA,11,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51168,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,IRS_Coverage,Public services,Rwanda,Rwanda Patriotic Front (RPF),NA,NA,Bombs,4,NA,13,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51180,1.99E+11,2010,0,Equatorial Guinea,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Sprayed_Structures,Private property,Equatorial Guinea,Unknown,NA,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51193,1.99E+11,2010,0,Togo,Sub-Saharan Africa,Taco,NA,NA,1,1,1,0,0,0,Sprayed_Structures,Government,Togo,Unknown,NA,NA,Firearms,4,NA,1,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51239,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,IRS_Coverage,Private property,Rwanda,Rwanda Patriotic Front (RPF),NA,NA,Bombs,0,NA,30,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51243,1.99E+11,2010,0,Malawi,Sub-Saharan Africa,Lilongwe,-13.983147,33.781319,1,1,1,0,1,0,IRS_pop_protected,Private property,Malawi,Anti-government rioters,NA,NA,Incendiary,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51244,1.99E+11,2010,0,Malawi,Sub-Saharan Africa,Blantyre,-15.786662,35.005191,1,1,1,0,1,0,IRS_pop_protected,Government,Malawi,Unknown,NA,NA,Incendiary,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51264,1.99E+11,2010,0,Liberia,Sub-Saharan Africa,Monrovia,6.290743,-10.760524,1,1,1,0,1,0,IRS_Coverage,Private property,Liberia,Unknown,NA,NA,Bombs,5,NA,12,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51265,1.99E+11,2010,0,Rwanda,Sub-Saharan Africa,Kigali,-1.949011,30.057852,1,1,1,0,1,0,Sprayed_Structures,Government,Rwanda,National Republican Movement for Democracy and Development (MRND),25,NA,Bombs,0,NA,1,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51267,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Ocua,-13.645441,39.789734,1,1,1,0,1,0,Sprayed_Structures,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Firearms,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51303,1.99E+11,2010,0,Togo,Sub-Saharan Africa,Atakpame,7.528543,1.130828,1,1,1,0,1,0,Unknown,Private property,Togo,Unknown,NA,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51334,1.99E+11,2010,0,Togo,Sub-Saharan Africa,Lome,6.172553,1.231572,1,1,1,0,1,0,IRS_Coverage,Public services,Togo,Unknown,NA,NA,Bombs,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51335,1.99E+11,2010,0,Togo,Sub-Saharan Africa,Lome,6.172553,1.231572,1,1,1,0,0,0,IRS_Coverage,Public services,Togo,Unknown,NA,NA,Bombs,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51352,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Macuze,-17.717247,37.191519,1,0,1,0,1,0,Sprayed_Structures,Hate crimes,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51361,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Macuze,-17.717247,37.191519,1,1,1,0,1,0,IRS_pop_protected,Private property,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Firearms,0,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51362,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Lagos,6.618911,3.305532,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Anti-Government Group,NA,NA,Incendiary,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51377,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Akure,7.25,5.195,1,1,1,0,1,0,Children_U5yrs_protected,Private property,Nigeria,Unknown,NA,NA,Incendiary,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51388,1.99E+11,2010,0,Mozambique,Sub-Saharan Africa,Maputo,-25.891968,32.605135,1,1,1,0,1,0,Sprayed_Structures,Government,Mozambique,Mozambique National Resistance Movement (MNR),NA,NA,Firearms,2,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51410,1.99E+11,2010,1,Liberia,Sub-Saharan Africa,Kle,6.695088,-10.874056,1,1,1,0,1,0,IRS_pop_protected,Hate crimes,Liberia,National Democratic Front of Liberia,NA,NA,Firearms,0,NA,0,0,1,1,1,0,1,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51411,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Kaduna,10.530204,7.437338,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Katap Ethic Group,NA,NA,Firearms,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51412,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Zango-Kataf,9.791087,8.281157,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Hauso Ethnic Group,NA,NA,Firearms,375,NA,100,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
51421,1.99E+11,2010,0,Nigeria,Sub-Saharan Africa,Kaduna,10.530204,7.437338,1,1,1,0,1,0,Children_U5yrs_protected,Private property,Nigeria,rioters,NA,NA,Incendiary,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,5/17/2010,1
